#auto generated file!
time(LOGICAL);LoadOnEdge;LoadOnCloud;LoadOnMobile;energyConsumptionOnEdge;energyConsumptionOnCloud;energyConsumptionOnMobile
30,0;0,0;0,0;0,0;6,8913666666667204E-9;0,0;0,40000000689136667
60,0;0,0;0,0;0,0;1,4777333333333436E-8;0,0;0,8833333481106643
90,0;0,0;0,0;0,0;2,103943333333352E-8;0,0;1,2916666877060994
120,0;0,0;0,0;0,0;2,793080000000028E-8;0,0;1,6833333612641352
150,0;0,0;0,0;0,0;3,4271558333333665E-8;0,0;2,083333367604897
180,0;0,0;0,0;0,0;4,0262166666667035E-8;0,0;2,466666706928841
210,0;0,75;0,0;0,0;60,166666713119895;0,0;2,8666667131199097
240,0;0,25;0,0;0,0;0,0;0,0;3,325000054118488
270,0;0,25;0,0;0,0;0,0;0,0;3,7416667267757657
300,0;0,75;0,0;0,0;0,0;0,0;4,241666735524411
330,0;0,5;0,0;0,0;0,0;0,0;4,75000007672088
360,0;0,0;0,0;0,0;0,0;0,0;5,208333417488542
390,0;0,0;0,0;0,0;0,0;0,0;5,5833334245422925
420,0;0,0;0,0;0,0;0,0;0,0;5,950000097169118
450,0;0,0;0,0;0,0;0,0;0,0;6,308333436183496
480,0;0,0;0,0;0,0;0,0;0,0;6,6916667760199715
510,0;0,0;0,0;0,0;0,0;0,0;7,033333448801573
540,0;0,0;0,0;0,0;0,0;0,0;7,558333457829331
570,0;0,0;0,0;0,0;0,0;0,0;7,916666797074599
600,0;0,5;0,0;0,0;0,0;0,0;8,358333470741707
630,0;0,5;0,0;0,0;0,0;0,0;8,808333478135438
660,0;0,75;0,0;0,0;0,0;0,0;9,36666682084668
690,0;1,0;0,0;0,0;0,0;0,0;9,86666682920966
720,0;1,5;0,0;0,0;0,0;0,0;10,483333506804522
750,0;1,0;0,0;0,0;0,0;0,0;11,041666849157988
780,0;0,5;0,0;0,0;0,0;0,0;11,425000189529825
810,0;0,5;0,0;0,0;0,0;0,0;11,82500019621563
840,0;0,0;0,0;0,0;0,0;0,0;12,200000202797431
870,0;0,0;0,0;0,0;0,0;0,0;12,641666876933941
900,0;0,0;0,0;0,0;0,0;0,0;13,091666884677824
930,0;0,0;0,0;0,0;0,0;0,0;13,525000225176536
960,0;0,0;0,0;0,0;0,0;0,0;13,90000023100727
990,0;0,0;0,0;0,0;0,0;0,0;14,35000023995892
1020,0;0,25;0,0;0,0;0,0;0,0;14,791666914011692
1050,0;0,0;0,0;0,0;0,0;0,0;15,175000253414305
1080,0;0,5;0,0;0,0;0,0;0,0;15,708333595993691
1110,0;1,75;0,0;0,0;0,0;0,0;16,266666937761148
1140,0;2,5;0,0;0,0;0,0;0,0;16,94166694850173
1170,0;0,5;0,0;0,0;0,0;0,0;17,425000290510226
1200,0;0,5;0,0;0,0;0,0;0,0;17,89166696468743
1230,0;0,0;0,0;0,0;0,0;0,0;18,341666972822157
1260,0;0,0;0,0;0,0;0,0;0,0;18,71666697888894
1290,0;0,0;0,0;0,0;0,0;0,0;19,075000318834572
1320,0;0,0;0,0;0,0;0,0;0,0;19,48333365881828
1350,0;0,0;0,0;0,0;0,0;0,0;19,908333665861946
1380,0;0,0;0,0;0,0;0,0;0,0;20,28333367224845
1410,0;0,0;0,0;0,0;0,0;0,0;20,725000346237906
1440,0;0,25;0,0;0,0;0,0;0,0;21,15000035308619
1470,0;0,25;0,0;0,0;0,0;0,0;21,61666702717966
1500,0;0,25;0,0;0,0;0,0;0,0;22,0500003677495
1530,0;1,0;0,0;0,0;0,0;0,0;22,516667042073852
1560,0;0,0;0,0;0,0;0,0;0,0;22,941667049191093
1590,0;0,25;0,0;0,0;0,0;0,0;23,300000388400914
1620,0;0,25;0,0;0,0;0,0;0,0;23,77500039629712
1650,0;0,0;0,0;0,0;0,0;0,0;24,0750004012703
1680,0;0,0;0,0;0,0;0,0;0,0;24,5750004095065
1710,0;0,0;0,0;0,0;0,0;0,0;24,925000415225664
1740,0;0,0;0,0;0,0;0,0;0,0;25,383333755912222
1770,0;0,0;0,0;0,0;0,0;0,0;25,79166709566503
1800,0;0,0;0,0;0,0;0,0;0,0;26,191667102046452
1830,0;0,0;0,0;0,0;0,0;0,0;26,666667110300438
1860,0;0,25;0,0;0,0;0,0;0,0;27,00833378194792
1890,0;0,0;0,0;0,0;0,0;0,0;27,483333789580257
1920,0;0,5;0,0;0,0;0,0;0,0;28,041667132283983
1950,0;0,25;0,0;0,0;0,0;0,0;28,52500047383579
1980,0;0,5;0,0;0,0;0,0;0,0;28,96666714765522
2010,0;1,0;0,0;0,0;0,0;0,0;29,45000048891519
2040,0;0,25;0,0;0,0;0,0;0,0;29,900000496623644
2070,0;0,0;0,0;0,0;0,0;0,0;30,30000050312686
2100,0;0,0;0,0;0,0;0,0;0,0;30,66666717574359
2130,0;0,0;0,0;0,0;0,0;0,0;31,008333847545845
2160,0;0,0;0,0;0,0;0,0;0,0;31,400000520908566
2190,0;0,0;0,0;0,0;0,0;0,0;31,72500052619893
2220,0;0,0;0,0;0,0;0,0;0,0;32,06666719877504
2250,0;0,0;0,0;0,0;0,0;0,0;32,45000053790368
2280,0;0,5;0,0;0,0;0,0;0,0;32,87500054474943
2310,0;0,75;0,0;0,0;0,0;0,0;33,35000055233355
2340,0;0,5;0,0;0,0;0,0;0,0;33,7833338919265
2370,0;1,0;0,0;0,0;0,0;0,0;34,26666723327023
2400,0;1,0;0,0;0,0;0,0;0,0;34,76666724183122
2430,0;0,5;0,0;0,0;0,0;0,0;35,12500058163224
2460,0;0,25;0,0;0,0;0,0;0,0;35,65833392352913
2490,0;0,0;0,0;0,0;0,0;0,0;36,13333393119953
2520,0;0,0;0,0;0,0;0,0;0,0;36,59166727235295
2550,0;0,0;0,0;0,0;0,0;0,0;36,991667279665556
2580,0;0,0;0,0;0,0;0,0;0,0;37,38333395338097
2610,0;0,0;0,0;0,0;0,0;0,0;37,858333962251514
2640,0;0,25;0,0;0,0;0,0;0,0;38,29166730262089
2670,0;0,0;0,0;0,0;0,0;0,0;38,74166731012888
2700,0;0,25;0,0;0,0;0,0;0,0;39,13333398270502
2730,0;0,25;0,0;0,0;0,0;0,0;39,69166732557623
2760,0;0,5;0,0;0,0;0,0;0,0;40,18333400057045
2790,0;0,25;0,0;0,0;0,0;0,0;40,63333400772068
2820,0;0,0;0,0;0,0;0,0;0,0;40,991667346968555
2850,0;1,5;0,0;0,0;0,0;0,0;41,47500068767539
2880,0;0,0;0,0;0,0;0,0;0,0;41,96666736286754
